ciclo_academico,tipo_de_est_programa,estatus_cursos,porcentaje_de_beca,porcentaje_des_matricula,monto_descuento_automatico,edad,sexo,discapacidad,porcentaje_de_discapacidades,numero_discapacidades,bim1_nota_metodologia_de_la_invest_y_tec,bim1_nota_computacion_y_sociedad,bim1_nota_fundamentos_de_tecnologias,bim1_nota_algoritmos_y_resolucion_de_pro,"bim1_nota_humanismo,_universidad_y_cultu",bim1_nota_fundamentos_matematicos,bim2_nota_metodologia_de_la_invest_y_tec,bim2_nota_computacion_y_sociedad,bim2_nota_fundamentos_de_tecnologias,bim2_nota_algoritmos_y_resolucion_de_pro,"bim2_nota_humanismo,_universidad_y_cultu",bim2_nota_fundamentos_matematicos,aab1_nota_metodologia_de_la_invest_y_tec,aab1_nota_computacion_y_sociedad,aab1_nota_fundamentos_de_tecnologias,aab1_nota_algoritmos_y_resolucion_de_pro,"aab1_nota_humanismo,_universidad_y_cultu",aab1_nota_fundamentos_matematicos,aab2_nota_metodologia_de_la_invest_y_tec,aab2_nota_computacion_y_sociedad,aab2_nota_fundamentos_de_tecnologias,aab2_nota_algoritmos_y_resolucion_de_pro,"aab2_nota_humanismo,_universidad_y_cultu",aab2_nota_fundamentos_matematicos,acdb1_nota_metodologia_de_la_invest_y_tec,acdb1_nota_computacion_y_sociedad,acdb1_nota_fundamentos_de_tecnologias,acdb1_nota_algoritmos_y_resolucion_de_pro,"acdb1_nota_humanismo,_universidad_y_cultu",acdb1_nota_fundamentos_matematicos,acdb2_nota_computacion_y_sociedad,acdb2_nota_fundamentos_de_tecnologias,acdb2_nota_algoritmos_y_resolucion_de_pro,"acdb2_nota_humanismo,_universidad_y_cultu",acdb2_nota_fundamentos_matematicos,apeb1_nota_metodologia_de_la_invest_y_tec,apeb1_nota_computacion_y_sociedad,apeb1_nota_fundamentos_de_tecnologias,apeb1_nota_algoritmos_y_resolucion_de_pro,"apeb1_nota_humanismo,_universidad_y_cultu",apeb1_nota_fundamentos_matematicos,apeb2_nota_computacion_y_sociedad,apeb2_nota_algoritmos_y_resolucion_de_pro,cluster
4,0,2,0.0,20.0,78.88,26.0,0,0,0,0,-1.0,9.34,-1.0,9.12,-1.0,8.58,-1.0,9.4,-1.0,6.53,-1.0,8.6,-1.0,3.38,-1.0,2.72,-1.0,2.5,-1.0,3.19,-1.0,1.43,-1.0,2.49,-1.0,3.03,-1.0,3.5,-1.0,3.33,3.35,-1.0,2.5,-1.0,3.38,-1.0,2.93,-1.0,2.9,-1.0,2.75,2.86,2.6,3
1,0,1,0.0,5.0,85.11,39.73168214654283,1,0,0,0,-1.0,7.65,-1.0,-1.0,9.09,8.36,-1.0,5.62,-1.0,-1.0,6.78,5.18,-1.0,3.15,-1.0,-1.0,2.89,3.14,-1.0,2.69,-1.0,-1.0,3.38,1.96,-1.0,1.5,-1.0,-1.0,3.4,3.18,1.5,-1.0,-1.0,2.4,2.1,-1.0,3.0,-1.0,-1.0,2.8,2.04,1.43,-1.0,3
5,0,1,10.0,20.0,103.43,21.0,0,0,0,0,-1.0,7.18,-1.0,-1.0,8.94,-1.0,-1.0,8.51,-1.0,-1.0,8.45,-1.0,2.21,2.75,-1.0,-1.0,2.69,-1.0,1.0,3.13,-1.0,-1.0,2.75,-1.0,-1.0,2.4,-1.0,-1.0,3.25,-1.0,3.3,-1.0,-1.0,2.9,-1.0,2.8,2.03,-1.0,-1.0,3.0,-1.0,2.08,-1.0,3
5,0,1,20.0,20.0,113.41,34.0,1,0,0,0,1.1,8.03,-1.0,-1.0,7.95,-1.0,0.0,9.05,-1.0,-1.0,8.43,-1.0,0.2,3.1,-1.0,-1.0,3.0,-1.0,-1.0,3.15,-1.0,-1.0,2.93,-1.0,0.9,2.0,-1.0,-1.0,2.15,-1.0,3.05,-1.0,-1.0,2.5,-1.0,0.0,2.93,-1.0,-1.0,2.8,-1.0,2.85,-1.0,3
5,0,1,0.0,20.0,128.53,34.0,1,0,0,0,6.79,8.74,6.75,-1.0,-1.0,-1.0,6.42,7.24,6.6,-1.0,-1.0,-1.0,2.98,3.06,2.3,-1.0,-1.0,-1.0,2.63,3.19,3.0,-1.0,-1.0,-1.0,2.08,2.68,2.05,-1.0,-1.0,-1.0,1.5,1.8,-1.0,-1.0,-1.0,1.73,3.0,2.4,-1.0,-1.0,-1.0,2.55,-1.0,3
4,1,2,8.0,20.0,96.65,28.0,1,0,0,0,-1.0,9.48,9.27,9.58,-1.0,-1.0,-1.0,9.48,9.6,9.62,-1.0,-1.0,2.85,3.13,2.77,3.08,-1.0,-1.0,0.75,3.31,3.1,3.12,-1.0,-1.0,-1.0,3.5,3.5,3.5,-1.0,-1.0,3.5,3.5,3.5,-1.0,-1.0,1.2,2.85,3.0,3.0,-1.0,-1.0,2.67,3.0,3
1,0,2,10.0,30.0,191.73,21.0,0,0,0,0,1.43,4.14,1.23,0.83,1.31,2.82,1.06,6.81,3.17,0.5,5.63,5.47,1.43,2.64,1.23,0.83,1.31,1.06,1.06,2.86,1.7,0.5,2.03,2.23,0.0,0.0,0.0,0.0,0.0,1.35,1.5,1.47,0.0,1.2,0.42,0.0,1.5,-1.0,0.0,0.0,0.41,2.45,0.0,3
3,0,3,10.0,100.0,33.2,28.0,1,0,0,0,-1.0,9.79,9.48,9.92,-1.0,8.41,-1.0,7.42,9.67,9.52,-1.0,8.45,2.79,3.39,3.07,3.42,3.08,2.57,0.85,3.14,3.3,3.42,1.0,2.4,-1.0,3.4,3.47,3.5,-1.0,3.35,1.43,3.37,3.5,-1.0,3.35,2.15,3.0,2.94,3.0,3.5,2.49,2.85,2.6,3
1,1,1,0.0,0.0,0.0,39.73168214654283,1,0,0,0,4.29,6.59,8.04,8.85,7.3,8.65,9.09,6.13,6.38,4.33,9.31,6.99,2.49,3.08,2.67,2.45,2.95,2.5,2.66,3.13,2.9,2.33,2.81,2.38,1.8,2.08,2.47,3.5,1.35,3.18,1.5,1.98,1.0,3.5,2.08,0.0,1.43,2.9,2.9,3.0,2.97,1.5,1.0,0
4,0,1,18.0,20.0,142.28,26.0,1,0,0,0,-1.0,8.82,8.29,-1.0,8.84,8.22,-1.0,5.88,6.04,-1.0,9.59,7.21,2.25,3.06,2.66,2.33,2.94,2.52,1.0,2.88,2.8,1.0,3.19,2.39,-1.0,3.28,2.65,-1.0,3.5,2.74,1.5,1.74,-1.0,3.4,1.82,3.5,2.48,2.98,3.25,2.4,2.96,1.5,-1.0,2
