ciclo_academico,tipo_de_est_programa,estatus_cursos,porcentaje_de_beca,porcentaje_des_matricula,monto_descuento_automatico,edad,sexo,discapacidad,porcentaje_de_discapacidades,numero_discapacidades,bim1_nota_metodologia_de_la_invest_y_tec,bim1_nota_computacion_y_sociedad,bim1_nota_fundamentos_de_tecnologias,bim1_nota_algoritmos_y_resolucion_de_pro,"bim1_nota_humanismo,_universidad_y_cultu",bim1_nota_fundamentos_matematicos,bim2_nota_metodologia_de_la_invest_y_tec,bim2_nota_computacion_y_sociedad,bim2_nota_fundamentos_de_tecnologias,bim2_nota_algoritmos_y_resolucion_de_pro,"bim2_nota_humanismo,_universidad_y_cultu",bim2_nota_fundamentos_matematicos,aab1_nota_metodologia_de_la_invest_y_tec,aab1_nota_computacion_y_sociedad,aab1_nota_fundamentos_de_tecnologias,aab1_nota_algoritmos_y_resolucion_de_pro,"aab1_nota_humanismo,_universidad_y_cultu",aab1_nota_fundamentos_matematicos,aab2_nota_metodologia_de_la_invest_y_tec,aab2_nota_computacion_y_sociedad,aab2_nota_fundamentos_de_tecnologias,aab2_nota_algoritmos_y_resolucion_de_pro,"aab2_nota_humanismo,_universidad_y_cultu",aab2_nota_fundamentos_matematicos,acdb1_nota_metodologia_de_la_invest_y_tec,acdb1_nota_computacion_y_sociedad,acdb1_nota_fundamentos_de_tecnologias,acdb1_nota_algoritmos_y_resolucion_de_pro,"acdb1_nota_humanismo,_universidad_y_cultu",acdb1_nota_fundamentos_matematicos,acdb2_nota_computacion_y_sociedad,acdb2_nota_fundamentos_de_tecnologias,acdb2_nota_algoritmos_y_resolucion_de_pro,"acdb2_nota_humanismo,_universidad_y_cultu",acdb2_nota_fundamentos_matematicos,apeb1_nota_metodologia_de_la_invest_y_tec,apeb1_nota_computacion_y_sociedad,apeb1_nota_fundamentos_de_tecnologias,apeb1_nota_algoritmos_y_resolucion_de_pro,"apeb1_nota_humanismo,_universidad_y_cultu",apeb1_nota_fundamentos_matematicos,apeb2_nota_computacion_y_sociedad,apeb2_nota_algoritmos_y_resolucion_de_pro,cluster,Componente_1,Componente_2,Componente_3
4,CONTINUO,CURSOS CADUCADOS,0,20,78.88,26,MUJER,NO,0,0,-1.0,9.34,-1.0,9.12,-1.0,8.58,-1.0,9.4,-1.0,6.53,-1.0,8.6,-1.0,3.38,-1.0,2.72,-1.0,2.5,-1.0,3.19,-1.0,1.43,-1.0,2.49,-1.0,3.03,-1.0,3.5,-1.0,3.33,3.35,-1.0,2.5,-1.0,3.38,-1.0,2.93,-1.0,2.9,-1.0,2.75,2.86,2.6,Ruido,-5.368204935191416,16.881431465827117,-18.602625600021213
1,CONTINUO,CURSOS INSCRITOS,0,5,85.11,39,HOMBRE,NO,0,0,-1.0,7.65,-1.0,-1.0,9.09,8.36,-1.0,5.62,-1.0,-1.0,6.78,5.18,-1.0,3.15,-1.0,-1.0,2.89,3.14,-1.0,2.69,-1.0,-1.0,3.38,1.96,-1.0,1.5,-1.0,-1.0,3.4,3.18,1.5,-1.0,-1.0,2.4,2.1,-1.0,3.0,-1.0,-1.0,2.8,2.04,1.43,-1.0,Ruido,0.7803570905047251,5.78399030319195,-29.686561238063153
5,CONTINUO,CURSOS INSCRITOS,10,20,103.43,21,MUJER,NO,0,0,-1.0,7.18,-1.0,-1.0,8.94,-1.0,-1.0,8.51,-1.0,-1.0,8.45,-1.0,2.21,2.75,-1.0,-1.0,2.69,-1.0,1.0,3.13,-1.0,-1.0,2.75,-1.0,-1.0,2.4,-1.0,-1.0,3.25,-1.0,3.3,-1.0,-1.0,2.9,-1.0,2.8,2.03,-1.0,-1.0,3.0,-1.0,2.08,-1.0,Ruido,16.44244823691365,6.831743534148135,-7.283281375487001
5,CONTINUO,CURSOS INSCRITOS,20,20,113.41,34,HOMBRE,NO,0,0,1.1,8.03,-1.0,-1.0,7.95,-1.0,0.0,9.05,-1.0,-1.0,8.43,-1.0,0.2,3.1,-1.0,-1.0,3.0,-1.0,-1.0,3.15,-1.0,-1.0,2.93,-1.0,0.9,2.0,-1.0,-1.0,2.15,-1.0,3.05,-1.0,-1.0,2.5,-1.0,0.0,2.93,-1.0,-1.0,2.8,-1.0,2.85,-1.0,Ruido,24.16051996725794,-1.5909458657402031,-0.4133912173553538
5,CONTINUO,CURSOS INSCRITOS,0,20,128.53,34,HOMBRE,NO,0,0,6.79,8.74,6.75,-1.0,-1.0,-1.0,6.42,7.24,6.6,-1.0,-1.0,-1.0,2.98,3.06,2.3,-1.0,-1.0,-1.0,2.63,3.19,3.0,-1.0,-1.0,-1.0,2.08,2.68,2.05,-1.0,-1.0,-1.0,1.5,1.8,-1.0,-1.0,-1.0,1.73,3.0,2.4,-1.0,-1.0,-1.0,2.55,-1.0,Ruido,43.16257223867144,10.186410687308932,-11.546930533308693
4,NUEVO,CURSOS CADUCADOS,8,20,96.65,28,HOMBRE,NO,0,0,-1.0,9.48,9.27,9.58,-1.0,-1.0,-1.0,9.48,9.6,9.62,-1.0,-1.0,2.85,3.13,2.77,3.08,-1.0,-1.0,0.75,3.31,3.1,3.12,-1.0,-1.0,-1.0,3.5,3.5,3.5,-1.0,-1.0,3.5,3.5,3.5,-1.0,-1.0,1.2,2.85,3.0,3.0,-1.0,-1.0,2.67,3.0,Ruido,10.435451865061559,8.646901194574232,-10.660393432741511
1,CONTINUO,CURSOS CADUCADOS,10,30,191.73,21,MUJER,NO,0,0,1.43,4.14,1.23,0.83,1.31,2.82,1.06,6.81,3.17,0.5,5.63,5.47,1.43,2.64,1.23,0.83,1.31,1.06,1.06,2.86,1.7,0.5,2.03,2.23,0.0,0.0,0.0,0.0,0.0,1.35,1.5,1.47,0.0,1.2,0.42,0.0,1.5,-1.0,0.0,0.0,0.41,2.45,0.0,Ruido,102.79100957705593,1.0361536839669299,12.878644711066313
3,CONTINUO,CURSOS RETIRADOS,10,100,33.2,28,HOMBRE,NO,0,0,-1.0,9.79,9.48,9.92,-1.0,8.41,-1.0,7.42,9.67,9.52,-1.0,8.45,2.79,3.39,3.07,3.42,3.08,2.57,0.85,3.14,3.3,3.42,1.0,2.4,-1.0,3.4,3.47,3.5,-1.0,3.35,1.43,3.37,3.5,-1.0,3.35,2.15,3.0,2.94,3.0,3.5,2.49,2.85,2.6,Ruido,-52.544916143384505,71.00110344363961,38.09151936666619
1,NUEVO,CURSOS INSCRITOS,0,0,0.0,39,HOMBRE,NO,0,0,4.29,6.59,8.04,8.85,7.3,8.65,9.09,6.13,6.38,4.33,9.31,6.99,2.49,3.08,2.67,2.45,2.95,2.5,2.66,3.13,2.9,2.33,2.81,2.38,1.8,2.08,2.47,3.5,1.35,3.18,1.5,1.98,1.0,3.5,2.08,0.0,1.43,2.9,2.9,3.0,2.97,1.5,1.0,Bueno,-82.09424311473892,12.967371831443792,-46.25405670377494
4,CONTINUO,CURSOS INSCRITOS,18,20,142.28,26,HOMBRE,NO,0,0,-1.0,8.82,8.29,-1.0,8.84,8.22,-1.0,5.88,6.04,-1.0,9.59,7.21,2.25,3.06,2.66,2.33,2.94,2.52,1.0,2.88,2.8,1.0,3.19,2.39,-1.0,3.28,2.65,-1.0,3.5,2.74,1.5,1.74,-1.0,3.4,1.82,3.5,2.48,2.98,3.25,2.4,2.96,1.5,-1.0,Regular,53.02792287551236,-5.29022075260618,3.128319416039214
1,NUEVO,CURSOS INSCRITOS,0,0,0.0,39,HOMBRE,NO,0,0,6.59,7.49,8.91,9.54,7.96,8.77,5.01,5.53,6.03,8.23,7.49,6.59,2.46,3.14,2.9,3.04,3.16,2.69,1.58,3.21,2.83,2.93,2.99,3.12,3.0,1.35,3.06,3.5,2.0,3.15,1.35,1.7,2.5,3.5,0.91,1.13,3.0,2.95,3.0,2.8,2.93,0.97,2.8,Bueno,-82.06866223299586,12.888819983683097,-46.30940774072369
2,CONTINUO,CURSOS CADUCADOS,10,30,191.73,21,HOMBRE,NO,0,0,6.32,9.26,7.68,6.75,8.61,7.88,3.64,5.7,5.05,3.56,4.38,5.68,2.49,3.38,2.73,2.75,2.51,2.72,1.94,3.0,3.07,2.56,2.88,2.18,3.15,2.95,1.96,1.0,3.1,2.16,0.0,1.96,0.0,1.5,0.5,0.68,2.93,2.99,3.0,3.0,3.0,2.7,1.0,Bueno,103.05116460460071,-0.11584909515984224,12.593893304839735
1,NUEVO,CURSOS INSCRITOS,0,5,213.02,39,HOMBRE,NO,0,0,1.28,7.01,5.02,3.13,6.24,3.21,3.96,5.53,5.75,3.53,4.9,7.46,1.28,2.96,1.9,2.13,2.19,2.21,2.31,3.13,2.9,2.53,2.7,2.36,0.0,1.2,1.16,0.0,1.05,1.0,0.0,0.0,0.0,1.2,2.18,0.0,2.85,1.96,1.0,3.0,-1.0,2.4,1.0,Regular,126.04840862943632,-12.855364130350303,-10.620558527369832
2,CONTINUO,CURSOS INSCRITOS,10,100,60.58,21,HOMBRE,NO,0,0,1.13,7.97,-1.0,-1.0,4.5,8.55,1.69,9.31,-1.0,-1.0,3.0,6.78,1.13,3.04,2.63,2.65,1.5,2.59,1.69,3.25,1.0,1.0,2.0,2.13,-1.0,2.0,-1.0,-1.0,0.0,3.0,3.4,-1.0,-1.0,0.0,1.73,-1.0,2.93,2.0,3.38,3.0,2.96,2.66,-1.0,Ruido,-25.990205455790406,67.88385310433877,43.27613536949961
