Cluster,fake_identificacion,Periodo,Region,Zona,Centro,Periodo Admision,Ciclo Academico,Tipo de Programa,Estatus del Curso,Porcentaje de beca,Porcentaje desencuento matricula,Monto descuento automatico,Edad,Sexo,Discapacidad,Porcentaje de discapacidades,Número discapacidades,Metodología de la invest y tec(Bim1),Computación y sociedad(Bim1),Fundamentos de tecnologias(Bim1),Algoritmos y resolución de pro(Bim1),Humanismo universidad y cultu(Bim1),Fundamentos matematicos(Bim1),Metodología de la invest y tec(Bim2),Computación y sociedad(Bim2),Fundamentos de tecnologias(Bim2),Algoritmos y resolución de pro(Bim2),Humanismo universidad y cultu(Bim2),Fundamentos matematicos(Bim2),Metodología de la invest y tec(aaBim1),Computación y sociedad(aaBim1),Fundamentos de tecnologias(aaBim1),Algoritmos y resolución de pro(aaBim1),Humanismo universidad y cultu(aaBim1),Fundamentos matematicos(aaBim1),Metodología de la invest y tec(aaBim2),Computación y sociedad(aaBim2),Fundamentos de tecnologias(aaBim2),Algoritmos y resolución de pro(aaBim2),Humanismo universidad y cultu(aaBim2),Fundamentos matematicos(aaBim2),Metodología de la invest y tec(acdBim1),Computación y sociedad(acdBim1),Fundamentos de tecnologias(acdBim1),Algoritmos y resolucion de pro(acdBim1),Humanismo universidad y cultu(acdBim1),Fundamentos matematicos(acdBim1),Computación y sociedad(acdBim2),Fundamentos de tecnologias(acdBim2),Algoritmos y resolucion de pro(acdBim2),Humanismo universidad y cultu(acdBim2),Fundamentos matematicos(acdBim2),Metodología de la invest y tec(apeBim1),Computación y sociedad(apeBim1),Fundamentos de tecnologias(apeBim2),Algoritmos y resolucion de pro(acdBim2),Humanismo universidad y cultu(apeBim1),Fundamentos matematicos(apeBim1),Computación y sociedad(apeBim2),Algoritmos y resolución de pro(apeBim2),Componente_1,Componente_2,porcentaje_de_beca
Incierto,SLXA73875862178452,202264,GUAYAQUIL,GRAN-GYE,GUAYAQUIL,202062,4,CONTINUO,CURSOS CADUCADOS,0,20,78.88,26,MUJER,NO,0,0,-1,9.34,-1,9.12,-1,8.58,-1,9.4,-1,6.53,-1,8.6,-1,3.38,-1,2.72,-1,2.5,-1,3.19,-1,1.43,-1,2.49,-1,3.03,-1,3.5,-1,3.33,3.35,-1,2.5,-1,3.38,-1,2.93,-1,2.9,-1,2.75,2.86,2.6,0.6820056451761554,-0.550517644,202062
Incierto,IMTI79985682916423,202264,QUITO,SIERRA-CEN,LATACUNGA,202062,1,CONTINUO,CURSOS INSCRITOS,0,5,85.11,39,HOMBRE,NO,0,0,-1,7.65,-1,-1,9.09,8.36,-1,5.62,-1,-1,6.78,5.18,-1,3.15,-1,-1,2.89,3.14,-1,2.69,-1,-1,3.38,1.96,-1,1.5,-1,-1,3.4,3.18,1.5,-1,-1,2.4,2.1,-1,3,-1,-1,2.8,2.04,1.43,-1,1.206094013975294,0.1539537356313036,202062
Incierto,RDGA86435758648954,202264,CUENCA,SIERRA-SUR,PAUTE,202062,4,NUEVO,CURSOS CADUCADOS,8,20,96.65,28,HOMBRE,NO,0,0,-1,9.48,9.27,9.58,-1,-1,-1,9.48,9.6,9.62,-1,-1,2.85,3.13,2.77,3.08,-1,-1,0.75,3.31,3.1,3.12,-1,-1,-1,3.5,3.5,3.5,-1,-1,3.5,3.5,3.5,-1,-1,1.2,2.85,3,3,-1,-1,2.67,3,0.3677999941844738,-0.740688385,202062
Incierto,WPUG26560387616623,202262,CUENCA,SIERRA-SUR,CUENCA,202062,1,CONTINUO,CURSOS CADUCADOS,10,30,191.73,21,MUJER,NO,0,0,1.43,4.14,1.23,0.83,1.31,2.82,1.06,6.81,3.17,0.5,5.63,5.47,1.43,2.64,1.23,0.83,1.31,1.06,1.06,2.86,1.7,0.5,2.03,2.23,0,0,0,0,0,1.35,1.5,1.47,0,1.2,0.42,0,1.5,-1,0,0,0.41,2.45,0,1.1628490379767615,0.1510822199693076,202062
Incierto,RVPW13170117523043,202264,CUENCA,SIERRA-SUR,CUENCA,202062,3,CONTINUO,CURSOS RETIRADOS,10,100,33.2,28,HOMBRE,NO,0,0,-1,9.79,9.48,9.92,-1,8.41,-1,7.42,9.67,9.52,-1,8.45,2.79,3.39,3.07,3.42,3.08,2.57,0.85,3.14,3.3,3.42,1,2.4,-1,3.4,3.47,3.5,-1,3.35,1.43,3.37,3.5,-1,3.35,2.15,3,2.94,3,3.5,2.49,2.85,2.6,-0.70355932,0.24221071006639797,202062
Bueno,VMLB75639623337553,202164,CUENCA,SIERRA-SUR,CUENCA,202062,1,NUEVO,CURSOS INSCRITOS,0,0,0,39,HOMBRE,NO,0,0,4.29,6.59,8.04,8.85,7.3,8.65,9.09,6.13,6.38,4.33,9.31,6.99,2.49,3.08,2.67,2.45,2.95,2.5,2.66,3.13,2.9,2.33,2.81,2.38,1.8,2.08,2.47,3.5,1.35,3.18,1.5,1.98,1,3.5,2.08,0,1.43,2.9,2.9,3,2.97,1.5,1,-0.947321334,-0.114659664,202062
Regular,DADL70117380874006,202264,QUITO,METROPOLIT,QUITO-SAN RAFAEL,202062,4,CONTINUO,CURSOS INSCRITOS,18,20,142.28,26,HOMBRE,NO,0,0,-1,8.82,8.29,-1,8.84,8.22,-1,5.88,6.04,-1,9.59,7.21,2.25,3.06,2.66,2.33,2.94,2.52,1,2.88,2.8,1,3.19,2.39,-1,3.28,2.65,-1,3.5,2.74,1.5,1.74,-1,3.4,1.82,3.5,2.48,2.98,3.25,2.4,2.96,1.5,-1,-0.150516037,0.9604418276904528,202062
Bueno,KVDP89682850655002,202264,QUITO,METROPOLIT,QUITO,202062,1,NUEVO,CURSOS INSCRITOS,0,0,0,39,HOMBRE,NO,0,0,6.59,7.49,8.91,9.54,7.96,8.77,5.01,5.53,6.03,8.23,7.49,6.59,2.46,3.14,2.9,3.04,3.16,2.69,1.58,3.21,2.83,2.93,2.99,3.12,3,1.35,3.06,3.5,2,3.15,1.35,1.7,2.5,3.5,0.91,1.13,3,2.95,3,2.8,2.93,0.97,2.8,-1.167487385,-0.089731,202062
Bueno,ZXUV06947407930130,202264,QUITO,SIERRA-CEN,RIOBAMBA,202062,2,CONTINUO,CURSOS CADUCADOS,10,30,191.73,21,HOMBRE,NO,0,0,6.32,9.26,7.68,6.75,8.61,7.88,3.64,5.7,5.05,3.56,4.38,5.68,2.49,3.38,2.73,2.75,2.51,2.72,1.94,3,3.07,2.56,2.88,2.18,3.15,2.95,1.96,1,3.1,2.16,0,1.96,0,1.5,0.5,0.68,2.93,2.99,3,3,3,2.7,1,-0.667572686,0.6519648238673166,202062
Regular,YJPY23817378171135,202262,GUAYAQUIL,GRAN-GYE,GUAYAQUIL,202062,1,NUEVO,CURSOS INSCRITOS,0,5,213.02,39,HOMBRE,NO,0,0,1.28,7.01,5.02,3.13,6.24,3.21,3.96,5.53,5.75,3.53,4.9,7.46,1.28,2.96,1.9,2.13,2.19,2.21,2.31,3.13,2.9,2.53,2.7,2.36,0,1.2,1.16,0,1.05,1,0,0,0,1.2,2.18,0,2.85,1.96,1,3,-1,2.4,1,0.36414084716070294,0.10702125524863482,202062
